2020-05-10 20:20:07 status half-configured debianutils:armhf 4.9.1
2020-05-10 20:20:07 status installed debianutils:armhf 4.9.1
2020-05-10 20:20:07 configure mawk:armhf 1.3.4.20200120-2 <none>
2020-05-10 20:20:07 status unpacked mawk:armhf 1.3.4.20200120-2
2020-05-10 20:20:07 status half-configured mawk:armhf 1.3.4.20200120-2
2020-05-10 20:20:07 status installed mawk:armhf 1.3.4.20200120-2
2020-05-10 20:20:07 configure libdebconfclient0:armhf 0.251ubuntu1 <none>
2020-05-10 20:20:07 status unpacked libdebconfclient0:armhf 0.251ubuntu1
2020-05-10 20:20:07 status half-configured libdebconfclient0:armhf 0.251ubuntu1
2020-05-10 20:20:07 status installed libdebconfclient0:armhf 0.251ubuntu1
2020-05-10 20:20:07 configure base-files:armhf 11ubuntu5 <none>
2020-05-10 20:20:07 status unpacked base-files:armhf 11ubuntu5
2020-05-10 20:20:07 status half-configured base-files:armhf 11ubuntu5
2020-05-10 20:20:08 status installed base-files:armhf 11ubuntu5
2020-05-10 20:20:08 configure libbz2-1.0:armhf 1.0.8-2 <none>
2020-05-10 20:20:08 status unpacked libbz2-1.0:armhf 1.0.8-2
2020-05-10 20:20:08 status half-configured libbz2-1.0:armhf 1.0.8-2
2020-05-10 20:20:08 status installed libbz2-1.0:armhf 1.0.8-2
2020-05-10 20:20:08 configure base-passwd:armhf 3.5.47 <none>
2020-05-10 20:20:08 status unpacked base-passwd:armhf 3.5.47
